"","rnames","variable","value","rank"
"62","10002","V10003",2661.26,2
"63","10002","V10522",2881.36,3
"64","10002","V10001",3369.67,4
"65","10002","V9998",3673.13,5
"66","10002","V4160",4695.57,6
"67","10002","V10004",4718.58,7
"68","10002","V4170",4962.29,8
"69","10002","V4162",4982.98,9
"70","10002","V9997",5449.29,10
"71","10003","V10523",2551.26,1
"72","10003","V10002",2661.26,2
"73","10003","V4160",2728.67,3
"74","10003","V10004",3048.01,4
"75","10003","V10005",3496.42,5
"76","10003","V4168",4106.49,6
"77","10003","V4162",4131.49,7
"78","10003","V9992",4263.73,8
"79","10003","V10522",5029.74,9
"80","10003","V4167",5433.25,10
"81","10004","V4160",590.84,1
"82","10004","V10005",1618.66,2
"83","10004","V10003",3048.01,3
"84","10004","V4168",3186.27,4
"85","10004","V10523",3589.27,5
"86","10004","V9941",3833.72,6
"87","10004","V10002",4718.58,7
"88","10004","V4106",4724.05,8
"89","10004","V9936",4945.14,9
"90","10004","V9942",5148.03,10
"91","10005","V4160",1220.68,1
"92","10005","V4168",1611.72,2
"93","10005","V10004",1618.66,3
"94","10005","V10003",3496.42,4
"95","10005","V9942",3750.47,5
"96","10005","V4106",4265.31,6
"97","10005","V4167",4450.04,7
"98","10005","V10523",4886.38,8
"99","10005","V9941",5155.54,9
"100","10005","V9992",5323.39,10
"101","10006","V4163",2496.32,1
"102","10006","V1378",2630.3,2
"103","10006","V10429",3604.01,3
"104","10006","V10007",3808.14,4
"105","10006","V4166",4274.69,5
"106","10006","V6235",4688.99,6
"107","10006","V6225",5356.43,7
"108","10006","V1381",5487.17,8
"109","10006","V9994",5672.52,9
"110","10006","V9996",5999.84,10
"111","10007","V4163",2379.99,1
"112","10007","V4169",2561.36,2
"113","10007","V9994",3277.04,3
"114","10007","V10006",3808.14,4
"115","10007","V10000",4061,5
"116","10007","V10001",4266.94,6
"117","10007","V4166",4327.32,7
"118","10007","V9996",5083.17,8
"119","10007","V9998",5621.01,9
"120","10007","V1378",6170.3,10
"121","10008","V1472",671.87,1
"122","10008","V10009",788.8,2
"123","10008","V10010",1965.81,3
"124","10008","V10213",2463.44,4
"125","10008","V6361",2681.95,5
"126","10008","V9232",2775.74,6
"127","10008","V1474",3053.46,7
"128","10008","V1470",3277.88,8
"129","10008","V6364",3747.56,9
"130","10008","V6368",3821.49,10
"131","10009","V10008",788.8,1
"132","10009","V1472",1057.5,2
"133","10009","V6361",1915.5,3
"134","10009","V10010",2028.84,4
"135","10009","V9232",2160.7,5
"136","10009","V10213",2957.74,6
"137","10009","V10483",3157.85,7
"138","10009","V1470",3313.36,8
"139","10009","V1474",3438.02,9
"140","10009","V6360",3719.13,10
"141","1001","V1003",2415.22,1
"142","1001","V10229",2498.9,2
"143","1001","V999",2662.15,3
"144","1001","V5760",3044.26,4
"145","1001","V1005",3152.36,5
"146","1001","V5754",3187.22,6
"147","1001","V1008",3235.07,7
"148","1001","V1004",3601.75,8
"149","1001","V5755",4341.27,9
"150","1001","V5758",4498.41,10
"151","10010","V1472",1307.23,1
"152","10010","V1470",1316.93,2
"153","10010","V10213",1545.18,3
"154","10010","V10008",1965.81,4
"155","10010","V10009",2028.84,5
"156","10010","V9232",2127.21,6
"157","10010","V6368",2239.62,7
"158","10010","V6361",2780.93,8
"159","10010","V6362",2854.11,9
"160","10010","V10215",3352.61,10
"161","10011","V4179",448.59,1
"162","10011","V4178",518.33,2
"163","10011","V4172",651.18,3
"164","10011","V4174",710.24,4
"165","10011","V4184",797.55,5
"166","10011","V10022",846.53,6
"167","10011","V10012",920.2,7
"168","10011","V4185",1060.09,8
"169","10011","V4180",1286.3,9
"170","10011","V10023",1298.53,10
"171","10012","V10022",451.52,1
"172","10012","V4178",502.1,2
"173","10012","V4186",646.2,3
"174","10012","V4179",823.11,4
"175","10012","V10011",920.2,5
"176","10012","V4185",1028.66,6
"177","10012","V4174",1305.02,7
"178","10012","V10023",1416.4,8
"179","10012","V10013",1500.31,9
"180","10012","V4173",1511.77,10
"181","10013","V10023",604.05,1
"182","10013","V4185",660.61,2
"183","10013","V10014",903.1,3
"184","10013","V10022",1090.04,4
"185","10013","V4186",1137.9,5
"186","10013","V4179",1271.84,6
"187","10013","V4173",1297.68,7
"188","10013","V4174",1317.13,8
"189","10013","V10037",1412.28,9
"190","10013","V10012",1500.31,10
"191","10014","V4173",482.83,1
"192","10014","V10037",533.52,2
"193","10014","V10013",903.1,3
"194","10014","V4186",981.55,4
"195","10014","V4185",1321.17,5
"196","10014","V10029",1335.96,6
"197","10014","V10022",1393.05,7
"198","10014","V10023",1458.03,8
"199","10014","V10012",1606.94,9
"200","10014","V10027",1751.16,10
"201","10015","V4183",640.58,1
"202","10015","V10016",668,2
"203","10015","V10017",864.3,3
"204","10015","V10028",1377.27,4
"205","10015","V4177",1726.74,5
"206","10015","V10024",1828.55,6
"207","10015","V4184",2069.35,7
"208","10015","V10033",2127.21,8
"209","10015","V4174",2223,9
"210","10015","V10023",2287.29,10
"211","10016","V10015",668,1
"212","10016","V4183",1235.59,2
"213","10016","V10017",1508.02,3
"214","10016","V10033",1518.8,4
"215","10016","V10028",1761.95,5
"216","10016","V10024",2164.29,6
"217","10016","V4177",2326.49,7
"218","10016","V4184",2737.21,8
"219","10016","V4174",2881.1,9
"220","10016","V10023",2883.24,10
"221","10017","V4183",766.85,1
"222","10017","V10015",864.3,2
"223","10017","V4177",888.59,3
"224","10017","V10028",979.43,4
"225","10017","V4184",1308.52,5
"226","10017","V10024",1404.51,6
"227","10017","V10016",1508.02,7
"228","10017","V4172",1535.12,8
"229","10017","V4180",1551.75,9
"230","10017","V4174",1557.25,10
"231","10018","V4176",2736.75,1
"232","10018","V10020",2870.77,2
"233","10018","V10047",3305.01,3
"234","10018","V10039",3615.66,4
"235","10018","V4178",3817.74,5
"236","10018","V10012",4060.83,6
"237","10018","V10011",4067.95,7
"238","10018","V4175",4238.43,8
"239","10018","V4180",4290.26,9
"240","10018","V4172",4373.11,10
"241","10019","V4175",791.71,1
"242","10019","V4180",972.74,2
"243","10019","V4177",1078.58,3
"244","10019","V10024",1287.3,4
"245","10019","V10028",1503.07,5
"246","10019","V4172",1699.62,6
"247","10019","V10020",1813.14,7
"248","10019","V4184",1908.69,8
"249","10019","V10017",1923.82,9
"250","10019","V10011",2247.18,10
"251","1002","V5323",1781.55,1
"252","1002","V5329",2189.57,2
"253","1002","V1007",2394.55,3
"254","1002","V10312",2423.89,4
"255","1002","V5757",2437.74,5
"256","1002","V5322",2909.07,6
"257","1002","V5319",3139.97,7
"258","1002","V10311",3713.52,8
"259","1002","V1643",3854.94,9
"260","1002","V6607",3942.68,10
"261","10020","V4175",1377.15,1
"262","10020","V10019",1813.14,2
"263","10020","V4180",2070.06,3
"264","10020","V4172",2579.11,4
"265","10020","V4177",2669.54,5
"266","10020","V10011",2738.01,6
"267","10020","V10018",2870.77,7
"268","10020","V4178",2896.42,8
"269","10020","V4184",2936.64,9
"270","10020","V10024",3086.66,10
"271","10021","V10036",2308.49,1
"272","10021","V10032",2412.91,2
"273","10021","V4182",2910.27,3
"274","10021","V10026",3976.38,4
"275","10021","V10033",4053.52,5
"276","10021","V10016",4122.41,6
"277","10021","V4187",4255.8,7
"278","10021","V10024",4330.71,8
"279","10021","V10028",4398.62,9
"280","10021","V10015",4599.41,10
"281","10022","V10012",451.52,1
"282","10022","V4179",537.54,2
"283","10022","V4185",577.19,3
"284","10022","V4186",617.38,4
"285","10022","V4178",688.86,5
"286","10022","V10011",846.53,6
"287","10022","V10023",965.72,7
"288","10022","V4174",968.46,8
"289","10022","V10013",1090.04,9
"290","10022","V4184",1317.14,10
"291","10023","V4185",390.56,1
"292","10023","V10013",604.05,2
"293","10023","V4174",753.19,3
"294","10023","V4179",869.86,4
"295","10023","V10022",965.72,5
"296","10023","V4184",1112.29,6
"297","10023","V10011",1298.53,7
"298","10023","V4186",1324.76,8
"299","10023","V4172",1408.44,9
"300","10023","V10012",1416.4,10
"301","10024","V10028",458.7,1
"302","10024","V4177",1157.92,2
"303","10024","V10019",1287.3,3
"304","10024","V10017",1404.51,4
"305","10024","V4180",1744.65,5
"306","10024","V10015",1828.55,6
"307","10024","V4175",1847.84,7
"308","10024","V4183",2106.76,8
"309","10024","V10016",2164.29,9
"310","10024","V10032",2180.41,10
"311","10025","V5685",874.12,1
"312","10025","V5678",2724.09,2
"313","10025","V963",3227.05,3
"314","10025","V5688",3881.13,4
"315","10025","V5693",4253.99,5
"316","10025","V10035",4645.23,6
"317","10025","V962",4904.66,7
"318","10025","V4181",4946.16,8
"319","10025","V951",5151.71,9
"320","10025","V5701",5492.86,10
"321","10026","V10036",3126.27,1
"322","10026","V10021",3976.38,2
"323","10026","V3788",4124.71,3
"324","10026","V5686",4504.27,4
"325","10026","V3789",5146.49,5
"326","10026","V10033",5412.6,6
"327","10026","V4187",5867.99,7
"328","10026","V957",6011.45,8
"329","10026","V4182",6047.82,9
"330","10026","V10032",6237.24,10
"331","10027","V10013",1722.63,1
"332","10027","V10014",1751.16,2
"333","10027","V10037",1785.07,3
"334","10027","V10031",1982.43,4
"335","10027","V10030",2024.97,5
"336","10027","V10023",2181.41,6
"337","10027","V4173",2182.88,7
"338","10027","V10029",2272.89,8
"339","10027","V4185",2374.25,9
"340","10027","V4186",2631.38,10
"341","10028","V10024",458.7,1
"342","10028","V10017",979.43,2
"343","10028","V4177",988.98,3
"344","10028","V10015",1377.27,4
"345","10028","V10019",1503.07,5
"346","10028","V4183",1653.71,6
"347","10028","V4180",1693.87,7
"348","10028","V10016",1761.95,8
"349","10028","V4184",1986.62,9
"350","10028","V4172",2060.04,10
"351","10029","V10037",813.1,1
"352","10029","V4173",1140.27,2
"353","10029","V10014",1335.96,3
"354","10029","V4186",2002.96,4
"355","10029","V10013",2225.3,5
"356","10029","V10027",2272.89,6
"357","10029","V10040",2473.65,7
"358","10029","V10022",2576.52,8
"359","10029","V10041",2620.56,9
"360","10029","V10012",2627.68,10
"361","1003","V10229",1454.19,1
"362","1003","V1001",2415.22,2
"363","1003","V999",2548.84,3
"364","1003","V1005",2819.24,4
"365","1003","V5229",3433.7,5
"366","1003","V5758",3701.7,6
"367","1003","V5754",4372.24,7
"368","1003","V1004",4593.78,8
"369","1003","V1010",4865.07,9
"370","1003","V5760",4871.46,10
"371","10030","V9102",1249.72,1
"372","10030","V10027",2024.97,2
"373","10030","V10031",2644.58,3
"374","10030","V10029",2945.21,4
"375","10030","V10037",3024.14,5
"376","10030","V10044",3123.39,6
"377","10030","V10014",3308.78,7
"378","10030","V10038",3433.37,8
"379","10030","V10034",3549.42,9
"380","10030","V4173",3567.06,10
"381","10031","V10027",1982.43,1
"382","10031","V10030",2644.58,2
"383","10031","V10033",2690.34,3
"384","10031","V9102",2827.35,4
"385","10031","V4183",3098.85,5
"386","10031","V10016",3186.71,6
"387","10031","V10013",3289.8,7
"388","10031","V10015",3295.7,8
"389","10031","V10023",3482.8,9
"390","10031","V10014",3646.86,10
"391","10032","V10024",2180.41,1
"392","10032","V10021",2412.91,2
"393","10032","V10028",2417.2,3
"394","10032","V10016",3083.21,4
"395","10032","V10019",3217.46,5
"396","10032","V10015",3231.55,6
"397","10032","V10017",3317.11,7
"398","10032","V4177",3333.31,8
"399","10032","V4175",3377.54,9
"400","10032","V4182",3572.86,10
"401","10033","V10016",1518.8,1
"402","10033","V10015",2127.21,2
"403","10033","V10036",2463.01,3
"404","10033","V4183",2519.21,4
"405","10033","V10031",2690.34,5
"406","10033","V10017",2991.51,6
"407","10033","V10028",3248.15,7
"408","10033","V10024",3613.43,8
"409","10033","V4177",3838.58,9
"410","10033","V10032",3920.36,10
"411","10034","V4181",1722.81,1
"412","10034","V10035",1949.1,2
"413","10034","V9102",2497.73,3
"414","10034","V10044",2695.64,4
"415","10034","V10030",3549.42,5
"416","10034","V953",4511.95,6
"417","10034","V10038",4974.04,7
"418","10034","V10031",5156.49,8
"419","10034","V5688",5249.04,9
"420","10034","V4189",5490.65,10
"421","10035","V10034",1949.1,1
"422","10035","V9102",2755.93,2
"423","10035","V4181",2802.07,3
"424","10035","V5688",3312.71,4
"425","10035","V10030",4004.11,5
"426","10035","V10044",4454.01,6
"427","10035","V10031",4512.18,7
"428","10035","V10025",4645.23,8
"429","10035","V5685",5436.76,9
"430","10035","V5686",5479.39,10
"431","10036","V10021",2308.49,1
"432","10036","V10033",2463.01,2
"433","10036","V10026",3126.27,3
"434","10036","V10016",3353.22,4
"435","10036","V10032",3680.32,5
"436","10036","V10015",4005.68,6
"437","10036","V5686",4255.96,7
"438","10036","V10028",4521.97,8
"439","10036","V4183",4585.01,9
"440","10036","V10024",4687.54,10
"441","10037","V10014",533.52,1
"442","10037","V4173",548.59,2
"443","10037","V10029",813.1,3
"444","10037","V4186",1374.35,4
"445","10037","V10013",1412.28,5
"446","10037","V10027",1785.07,6
"447","10037","V4185",1853.12,7
"448","10037","V10022",1875.61,8
"449","10037","V10023",1985.68,9
"450","10037","V10012",2020.5,10
"451","10038","V10041",2020.93,1
"452","10038","V10044",2457.89,2
"453","10038","V10040",3121.58,3
"454","10038","V10029",3164.81,4
"455","10038","V10046",3393.28,5
"456","10038","V10030",3433.37,6
"457","10038","V10037",3921.56,7
"458","10038","V9102",4162.27,8
"459","10038","V4173",4304.33,9
"460","10038","V10014",4453.69,10
"461","10039","V10047",1424.55,1
"462","10039","V10051",2126.48,2
"463","10039","V10040",3038.66,3
"464","10039","V10045",3591.56,4
"465","10039","V10018",3615.66,5
"466","10039","V4176",3925.37,6
"467","10039","V10042",4027.05,7
"468","10039","V10041",4169.4,8
"469","10039","V10012",4303.49,9
"470","10039","V4186",4384.55,10
"471","1004","V5760",1714.95,1
"472","1004","V1005",2266.74,2
"473","1004","V740",2809.13,3
"474","1004","V10229",3332.42,4
"475","1004","V1001",3601.75,5
"476","1004","V1008",4352.35,6
"477","1004","V5353",4403.81,7
"478","1004","V1003",4593.78,8
"479","1004","V10475",5055.22,9
"480","1004","V4934",5072.58,10
"481","10040","V10041",1172.51,1
"482","10040","V10029",2473.65,2
"483","10040","V10047",2581.29,3
"484","10040","V10039",3038.66,4
"485","10040","V4173",3082.38,5
"486","10040","V10038",3121.58,6
"487","10040","V10037",3126.32,7
"488","10040","V10014",3514.02,8
"489","10040","V4186",3605.47,9
"490","10040","V10051",3733.69,10
"491","10041","V10040",1172.51,1
"492","10041","V10038",2020.93,2
"493","10041","V10029",2620.56,3
"494","10041","V10037",3411.02,4
"495","10041","V4173",3551.56,5
"496","10041","V10047",3741.91,6
"497","10041","V10014",3895.43,7
"498","10041","V10039",4169.4,8
"499","10041","V10046",4186.4,9
"500","10041","V4186",4250.95,10
"501","10042","V10051",1932.97,1
"502","10042","V10048",2312.41,2
"503","10042","V10045",2881.06,3
"504","10042","V3951",3447.26,4
"505","10042","V3954",3664.06,5
"506","10042","V10039",4027.05,6
"507","10042","V10040",4780.91,7
"508","10042","V10049",4886.31,8
"509","10042","V4188",4980.2,9
"510","10042","V9730",5097.73,10
"511","10043","V4189",1982,1
"512","10043","V10046",3306.83,2
"513","10043","V10050",3341.85,3
"514","10043","V6893",3575.21,4
"515","10043","V4190",3871.99,5
"516","10043","V6907",4378.92,6
"517","10043","V1867",4721.21,7
"518","10043","V10049",5248.63,8
"519","10043","V10044",5403.86,9
"520","10043","V953",5871.15,10
"521","10044","V10038",2457.89,1
"522","10044","V10034",2695.64,2
"523","10044","V9102",3024.84,3
"524","10044","V10030",3123.39,4
"525","10044","V4181",3745.41,5
"526","10044","V10046",4262.32,6
"527","10044","V4189",4335.37,7
"528","10044","V10035",4454.01,8
"529","10044","V10041",4461.33,9
"530","10044","V10029",4737.88,10
"531","10045","V10051",2287.84,1
"532","10045","V10042",2881.06,2
"533","10045","V3951",2987.41,3
"534","10045","V9730",3110.29,4
"535","10045","V9719",3342.3,5
"536","10045","V10039",3591.56,6
"537","10045","V4176",4093.93,7
"538","10045","V9722",4471.54,8
"539","10045","V3961",4578.82,9
"540","10045","V10048",4950,10
"541","10046","V10049",3027.45,1
"542","10046","V4190",3060.45,2
"543","10046","V10043",3306.83,3
"544","10046","V10038",3393.28,4
"545","10046","V4189",4141.76,5
"546","10046","V10041",4186.4,6
"547","10046","V10044",4262.32,7
"548","10046","V10040",5249.9,8
"549","10046","V10048",6046.14,9
"550","10046","V6893",6175.53,10
"551","10047","V10039",1424.55,1
"552","10047","V10040",2581.29,2
"553","10047","V10012",2887.35,3
"554","10047","V4186",2963.64,4
"555","10047","V4178",3106.93,5
"556","10047","V4173",3123.22,6
"557","10047","V10018",3305.01,7
"558","10047","V10022",3305.3,8
"559","10047","V10051",3424.84,9
"560","10047","V10029",3459.85,10
"561","10048","V3954",2174.52,1
"562","10048","V10042",2312.41,2
"563","10048","V4188",3252.41,3
"564","10048","V10049",3448.76,4
"565","10048","V3951",4120.15,5
"566","10048","V10051",4199.62,6
"567","10048","V9731",4371.01,7
"568","10048","V10045",4950,8
"569","10048","V4190",5210.7,9
"570","10048","V3953",5962.48,10
"571","10049","V4190",1934.14,1
"572","10049","V10046",3027.45,2
"573","10049","V10048",3448.76,3
"574","10049","V9731",4428.15,4
"575","10049","V10042",4886.31,5
"576","10049","V3954",5235,6
"577","10049","V10043",5248.63,7
"578","10049","V10041",5343.93,8
"579","10049","V10038",5639.3,9
"580","10049","V4188",5782.21,10
"581","1005","V10229",1367.59,1
"582","1005","V1004",2266.74,2
"583","1005","V1003",2819.24,3
"584","1005","V740",2898.64,4
"585","1005","V1001",3152.36,5
"586","1005","V5229",3302.27,6
"587","1005","V5760",3414.53,7
"588","1005","V632",4018.79,8
"589","1005","V739",4639.32,9
"590","1005","V999",5019.15,10
"591","10050","V6907",1444.73,1
"592","10050","V6893",2150.71,2
"593","10050","V1867",2948.56,3
"594","10050","V10043",3341.85,4
"595","10050","V4189",4068.93,5
"596","10050","V10368",4697.21,6
"597","10050","V6895",4841.63,7
"598","10050","V6910",4924.59,8
"599","10050","V5150",5153.71,9
"600","10050","V6891",5250.69,10
"601","10051","V10042",1932.97,1
"602","10051","V10039",2126.48,2
"603","10051","V10045",2287.84,3
"604","10051","V10047",3424.84,4
"605","10051","V10040",3733.69,5
"606","10051","V10048",4199.62,6
"607","10051","V3951",4438.4,7
"608","10051","V10041",4540.42,8
"609","10051","V4176",4863.85,9
"610","10051","V9730",5306,10
"611","10052","V4197",788.32,1
"612","10052","V7271",1874.53,2
"613","10052","V4195",2212.89,3
"614","10052","V6171",2909.96,4
"615","10052","V9297",3401.4,5
"616","10052","V9298",3457.09,6
"617","10052","V3664",3692,7
"618","10052","V6177",4045.19,8
"619","10052","V1346",4047.81,9
"620","10052","V6172",4200.46,10
"621","10053","V10055",2034.3,1
"622","10053","V8464",2806.69,2
"623","10053","V4204",2875.09,3
"624","10053","V4201",3208.91,4
"625","10053","V4191",3229.45,5
"626","10053","V3036",3987.17,6
"627","10053","V8471",4379.66,7
"628","10053","V8478",4412.43,8
"629","10053","V3779",4986.04,9
"630","10053","V8482",5262.85,10
"631","10054","V6161",389.49,1
"632","10054","V4192",651.65,2
"633","10054","V1342",1104.4,3
"634","10054","V113",1345.03,4
"635","10054","V2937",1345.19,5
"636","10054","V4194",1438.52,6
"637","10054","V6057",1764.07,7
"638","10054","V4198",1883.07,8
"639","10054","V5750",2192.11,9
"640","10054","V4451",2230.78,10
"641","10055","V4191",1287.23,1
"642","10055","V10053",2034.3,2
"643","10055","V8471",2963.45,3
"644","10055","V3779",2966.22,4
"645","10055","V8464",3049.34,5
"646","10055","V4201",3643.79,6
"647","10055","V8478",4488.31,7
"648","10055","V8482",4747.61,8
"649","10055","V4204",4833.23,9
"650","10055","V10438",4882.2,10
"651","10056","V10059",1233.32,1
"652","10056","V9961",2217.97,2
"653","10056","V4200",2245.65,3
"654","10056","V4199",2343.49,4
"655","10056","V10057",2354.45,5
"656","10056","V9962",2467.15,6
"657","10056","V9957",2580.23,7
"658","10056","V10060",3001.88,8
"659","10056","V10061",3261.12,9
"660","10056","V9958",3394.71,10
"661","10057","V2937",2186.14,1
"662","10057","V10056",2354.45,2
"663","10057","V4200",2735.9,3
"664","10057","V8205",2905.39,4
"665","10057","V10060",3120.61,5
"666","10057","V5750",3318.15,6
"667","10057","V10059",3358.54,7
"668","10057","V10054",3376.37,8
"669","10057","V4451",3448.54,9
"670","10057","V10061",3490.82,10
"671","10058","V10062",2792.73,1
"672","10058","V280",2885.1,2
"673","10058","V4201",3182.86,3
"674","10058","V5854",3608.55,4
"675","10058","V4199",3782.07,5
"676","10058","V7239",4523.1,6
"677","10058","V9961",4847.73,7
"678","10058","V1236",5085.39,8
"679","10058","V7238",5398.19,9
"680","10058","V4191",5471.24,10
"681","10059","V9961",1136.93,1
"682","10059","V10056",1233.32,2
"683","10059","V9957",1356.59,3
"684","10059","V9962",1586.6,4
"685","10059","V4200",2024.93,5
"686","10059","V9958",2216.87,6
"687","10059","V4199",2230.11,7
"688","10059","V4133",2700.07,8
"689","10059","V9959",2703.81,9
"690","10059","V5402",2759.55,10
"691","1006","V5752",1868.21,1
"692","1006","V5756",1954.34,2
"693","1006","V1011",2679.07,3
"694","1006","V196",3362.03,4
"695","1006","V9662",3402.57,5
"696","1006","V4575",3930.24,6
"697","1006","V5890",4087.99,7
"698","1006","V4574",4267.05,8
"699","1006","V5754",4458.08,9
"700","1006","V5655",4479.38,10
"701","10060","V4204",2740.06,1
"702","10060","V10056",3001.88,2
"703","10060","V10057",3120.61,3
"704","10060","V4199",3611.61,4
"705","10060","V10059",4141.53,5
"706","10060","V4201",4517.7,6
"707","10060","V4203",4655.5,7
"708","10060","V9961",4807.62,8
"709","10060","V8205",4938.23,9
"710","10060","V4200",4982.49,10
"711","10061","V6048",911.06,1
"712","10061","V5750",949.16,2
"713","10061","V4200",1019.79,3
"714","10061","V4133",1164.88,4
"715","10061","V4130",1556.4,5
"716","10061","V6057",1558.49,6
"717","10061","V9963",1597.72,7
"718","10061","V9962",1601.34,8
"719","10061","V5402",1767.97,9
"720","10061","V4194",2137.18,10
"721","10062","V9961",2285.26,1
"722","10062","V4199",2288.87,2
"723","10062","V7239",2569.99,3
"724","10062","V10058",2792.73,4
"725","10062","V280",2807.2,5
"726","10062","V7238",3021.71,6
"727","10062","V9957",3102.47,7
"728","10062","V5854",3311.29,8
"729","10062","V10059",3353.32,9
"730","10062","V9958",3657.24,10
"731","10063","V566",869.07,1
"732","10063","V4206",874.33,2
"733","10063","V568",974.31,3
"734","10063","V570",1228.94,4
"735","10063","V5105",1646.88,5
"736","10063","V5111",1673.28,6
"737","10063","V5127",1760.17,7
"738","10063","V573",2044.82,8
"739","10063","V567",2302.39,9
"740","10063","V5108",2373.46,10
"741","10064","V10070",1892.38,1
"742","10064","V5411",2221.8,2
"743","10064","V10074",2276.1,3
"744","10064","V10065",2781.72,4
"745","10064","V4569",2967.77,5
"746","10064","V10066",3464.36,6
"747","10064","V10067",3495.93,7
"748","10064","V6266",3588.23,8
"749","10064","V6316",3701.96,9
"750","10064","V968",3947.36,10
"751","10065","V6266",1063.52,1
"752","10065","V968",1409.6,2
"753","10065","V6264",1616.83,3
"754","10065","V6263",1796.62,4
"755","10065","V6265",2083.53,5
"756","10065","V6262",2163.33,6
"757","10065","V6261",2332.33,7
"758","10065","V6248",2678.12,8
"759","10065","V6252",2703.48,9
"760","10065","V10067",2749.6,10
"761","10066","V10074",1348.46,1
"762","10066","V10069",2033.9,2
"763","10066","V10070",2159.61,3
"764","10066","V10071",3199.33,4
"765","10066","V1410",3339.37,5
"766","10066","V10064",3464.36,6
"767","10066","V5411",3633.28,7
"768","10066","V4216",4629.4,8
"769","10066","V6325",4984.15,9
"770","10066","V4217",5105.48,10
"771","10067","V6248",1204.6,1
"772","10067","V4571",1526.33,2
"773","10067","V4569",1633.08,3
"774","10067","V6243",1640.68,4
"775","10067","V6261",1950.52,5
"776","10067","V6266",2296.09,6
"777","10067","V1682",2363.7,7
"778","10067","V968",2379.47,8
"779","10067","V6247",2419.27,9
"780","10067","V4568",2475.19,10
"781","10068","V4222",2024.38,1
"782","10068","V186",2947.05,2
"783","10068","V193",3318.47,3
"784","10068","V4220",3358.27,4
"785","10068","V4582",3758.26,5
"786","10068","V1013",4068.03,6
"787","10068","V1741",4421.58,7
"788","10068","V10073",4804.32,8
"789","10068","V4221",4845.24,9
"790","10068","V4211",4966.37,10
"791","10069","V10071",1959.29,1
"792","10069","V10066",2033.9,2
"793","10069","V10070",2724.02,3
"794","10069","V10074",3106.58,4
"795","10069","V10072",3260.98,5
"796","10069","V5411",3628.12,6
"797","10069","V4209",3632.59,7
"798","10069","V10064",4577.54,8
"799","10069","V10073",4681.21,9
"800","10069","V4221",4723.73,10
"801","1007","V1643",1849.97,1
"802","1007","V5323",2195.36,2
"803","1007","V5890",2361.91,3
"804","1007","V1002",2394.55,4
"805","1007","V10230",2730.82,5
"806","1007","V5319",2771.92,6
"807","1007","V5757",2885.6,7
"808","1007","V1640",3518.98,8
"809","1007","V1011",3669.95,9
"810","1007","V5329",4340.63,10
"811","10070","V5411",1516.97,1
"812","10070","V10074",1687.74,2
"813","10070","V10064",1892.38,3
"814","10070","V10066",2159.61,4
"815","10070","V10069",2724.02,5
"816","10070","V4569",3445.43,6
"817","10070","V4578",3775.47,7
"818","10070","V4209",4199.21,8
"819","10070","V10071",4599.62,9
"820","10070","V10067",4628.04,10
"821","10071","V10069",1959.29,1
"822","10071","V10066",3199.33,2
"823","10071","V10072",3395.37,3
"824","10071","V4212",3914.74,4
"825","10071","V4217",4005.7,5
"826","10071","V10074",4528.11,6
"827","10071","V4216",4592.21,7
"828","10071","V10070",4599.62,8
"829","10071","V4221",4702.06,9
"830","10071","V4209",4928.87,10
